cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,w/c,age_c,age_f,age_class_1,age_class_2,age_class_3,csMPa
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,0.6,class_3,3,0,0,1,40.56
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,0.48,class_3,3,0,0,1,42.62
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,0.5333333333333333,class_3,3,0,0,1,41.84
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,1.3753581661891119,class_2,2,0,1,0,28.24
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,1.3753581661891119,class_1,1,1,0,0,8.06
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,1.3753581661891119,class_3,3,0,0,1,44.21
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,0.6,class_3,3,0,0,1,52.52
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,0.6,class_3,3,0,0,1,53.3
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,0.6,class_3,3,0,0,1,41.15
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,0.6666666666666666,class_3,3,0,0,1,52.12
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,0.5333333333333333,class_2,2,0,1,0,37.43
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,0.48,class_1,1,1,0,0,38.6
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,0.75,class_3,3,0,0,1,55.26
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,0.8571428571428571,class_3,3,0,0,1,52.91
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,0.9667673716012085,class_3,3,0,0,1,41.72
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,0.48,class_3,3,0,0,1,42.13
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,1.2,class_3,3,0,0,1,53.69
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,0.96,class_3,3,0,0,1,38.41
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,0.96,class_2,2,0,1,0,30.08
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,0.6857142857142857,class_3,3,0,0,1,37.72
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,0.48,class_3,3,0,0,1,42.23
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,0.96,class_3,3,0,0,1,36.25
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,0.6666666666666666,class_3,3,0,0,1,50.46
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,0.5333333333333333,class_3,3,0,0,1,43.7
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,0.96,class_3,3,0,0,1,39.0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,0.6,class_3,3,0,0,1,53.1
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,0.5333333333333333,class_3,3,0,0,1,41.54
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,0.5333333333333333,class_1,1,1,0,0,35.08
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,0.5501432664756447,class_1,1,1,0,0,15.05
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,0.6,class_3,3,0,0,1,40.76
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,0.96,class_1,1,1,0,0,26.26
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,0.6,class_1,1,1,0,0,32.82
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,0.6857142857142857,class_3,3,0,0,1,39.78
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,1.2,class_3,3,0,0,1,46.93
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,0.96,class_3,3,0,0,1,33.12
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,0.75,class_3,3,0,0,1,49.19
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,1.3753581661891119,class_1,1,1,0,0,14.59
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,0.9667673716012085,class_1,1,1,0,0,14.64
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,0.48,class_3,3,0,0,1,41.93
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,0.9667673716012085,class_1,1,1,0,0,9.13
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,0.75,class_3,3,0,0,1,50.95
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,0.6857142857142857,class_2,2,0,1,0,33.02
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,0.75,class_3,3,0,0,1,54.38
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,0.8571428571428571,class_3,3,0,0,1,51.73
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,0.6193548387096774,class_1,1,1,0,0,9.87
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,1.2,class_3,3,0,0,1,50.66
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,0.8571428571428571,class_3,3,0,0,1,48.7
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,0.6666666666666666,class_3,3,0,0,1,55.06
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,1.3753581661891119,class_3,3,0,0,1,44.7
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,0.6857142857142857,class_1,1,1,0,0,30.28
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,1.2,class_2,2,0,1,0,40.86
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,0.30103092783505153,class_2,2,0,1,0,71.99
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,0.4548128342245989,class_1,1,1,0,0,34.4
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,0.5601659751037344,class_1,1,1,0,0,28.8
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,0.3611764705882353,class_1,1,1,0,0,33.4
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,0.3562352941176471,class_1,1,1,0,0,36.3
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,0.3376,class_1,1,1,0,0,29.0
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,0.3812631578947368,class_1,1,1,0,0,37.8
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,0.293816631130064,class_1,1,1,0,0,40.2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,0.3611764705882353,class_1,1,1,0,0,33.4
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,0.40633041688111166,class_1,1,1,0,0,28.1
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,0.26689252776209305,class_1,1,1,0,0,41.3
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,0.3611764705882353,class_1,1,1,0,0,33.4
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,0.4883939774153073,class_1,1,1,0,0,25.2
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,0.3668491786958686,class_1,1,1,0,0,41.1
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,0.4547710976282405,class_1,1,1,0,0,35.3
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,0.5678097003398209,class_1,1,1,0,0,28.3
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,0.40553359683794465,class_1,1,1,0,0,28.6
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,0.4547710976282405,class_1,1,1,0,0,35.3
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,0.505413901501921,class_1,1,1,0,0,24.4
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,0.4547710976282405,class_1,1,1,0,0,35.3
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,0.42369020501138954,class_1,1,1,0,0,39.3
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,0.37419851243908697,class_1,1,1,0,0,40.6
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,0.4547710976282405,class_1,1,1,0,0,35.3
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,0.5176087599881622,class_1,1,1,0,0,24.1
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,0.4548128342245989,class_1,1,1,0,0,46.2
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,0.5601659751037344,class_1,1,1,0,0,42.8
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,0.3611764705882353,class_1,1,1,0,0,49.2
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,0.3562352941176471,class_1,1,1,0,0,46.8
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,0.3376,class_1,1,1,0,0,45.7
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,0.3812631578947368,class_1,1,1,0,0,55.6
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,0.293816631130064,class_1,1,1,0,0,54.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,0.3611764705882353,class_1,1,1,0,0,49.2
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,0.40633041688111166,class_1,1,1,0,0,34.9
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,0.26689252776209305,class_1,1,1,0,0,46.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,0.3611764705882353,class_1,1,1,0,0,49.2
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,0.4883939774153073,class_1,1,1,0,0,33.4
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,0.3668491786958686,class_1,1,1,0,0,54.1
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,0.4547710976282405,class_1,1,1,0,0,55.9
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,0.5678097003398209,class_1,1,1,0,0,49.8
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,0.40553359683794465,class_1,1,1,0,0,47.1
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,0.4547710976282405,class_1,1,1,0,0,55.9
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,0.505413901501921,class_1,1,1,0,0,38.0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,0.4547710976282405,class_1,1,1,0,0,55.9
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,0.42369020501138954,class_1,1,1,0,0,56.1
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,0.37419851243908697,class_1,1,1,0,0,59.09
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,0.4547710976282405,class_1,1,1,0,0,22.9
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,0.5176087599881622,class_1,1,1,0,0,35.1
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,0.4548128342245989,class_2,2,0,1,0,61.09
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,0.5601659751037344,class_2,2,0,1,0,59.8
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,0.3611764705882353,class_2,2,0,1,0,60.29
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,0.3562352941176471,class_2,2,0,1,0,61.8
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,0.3376,class_2,2,0,1,0,56.7
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,0.3812631578947368,class_2,2,0,1,0,68.3
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,0.293816631130064,class_2,2,0,1,0,66.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,0.3611764705882353,class_2,2,0,1,0,60.29
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,0.40633041688111166,class_2,2,0,1,0,50.7
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,0.26689252776209305,class_2,2,0,1,0,56.4
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,0.3611764705882353,class_2,2,0,1,0,60.29
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,0.4883939774153073,class_2,2,0,1,0,55.5
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,0.3668491786958686,class_2,2,0,1,0,68.5
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,0.4547710976282405,class_2,2,0,1,0,71.3
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,0.5678097003398209,class_2,2,0,1,0,74.7
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,0.40553359683794465,class_2,2,0,1,0,52.2
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,0.4547710976282405,class_2,2,0,1,0,71.3
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,0.505413901501921,class_2,2,0,1,0,67.7
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,0.4547710976282405,class_2,2,0,1,0,71.3
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,0.42369020501138954,class_2,2,0,1,0,66.0
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,0.37419851243908697,class_2,2,0,1,0,74.5
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,0.4547710976282405,class_2,2,0,1,0,71.3
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,0.5176087599881622,class_2,2,0,1,0,49.9
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,0.4548128342245989,class_3,3,0,0,1,63.4
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,0.5601659751037344,class_3,3,0,0,1,64.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,0.3611764705882353,class_3,3,0,0,1,64.3
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,0.3562352941176471,class_3,3,0,0,1,64.9
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56,0.3376,class_3,3,0,0,1,60.2
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,0.3812631578947368,class_3,3,0,0,1,72.3
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,0.293816631130064,class_3,3,0,0,1,69.3
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,0.3611764705882353,class_3,3,0,0,1,64.3
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,0.40633041688111166,class_3,3,0,0,1,55.2
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,0.26689252776209305,class_3,3,0,0,1,58.8
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,0.3611764705882353,class_3,3,0,0,1,64.3
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56,0.4883939774153073,class_3,3,0,0,1,66.1
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,0.3668491786958686,class_3,3,0,0,1,73.7
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,0.4547710976282405,class_3,3,0,0,1,77.3
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,0.5678097003398209,class_3,3,0,0,1,80.2
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,0.40553359683794465,class_3,3,0,0,1,54.9
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,0.4547710976282405,class_3,3,0,0,1,77.3
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,0.505413901501921,class_3,3,0,0,1,72.99
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,0.4547710976282405,class_3,3,0,0,1,77.3
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,0.42369020501138954,class_3,3,0,0,1,71.7
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,0.37419851243908697,class_3,3,0,0,1,79.4
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,0.4547710976282405,class_3,3,0,0,1,77.3
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,0.5176087599881622,class_3,3,0,0,1,59.89
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,0.4548128342245989,class_3,3,0,0,1,64.9
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,0.5601659751037344,class_3,3,0,0,1,66.6
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,0.3611764705882353,class_3,3,0,0,1,65.2
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,0.3562352941176471,class_3,3,0,0,1,66.7
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,0.3376,class_3,3,0,0,1,62.5
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91,0.3812631578947368,class_3,3,0,0,1,74.19
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91,0.293816631130064,class_3,3,0,0,1,70.7
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,0.3611764705882353,class_3,3,0,0,1,65.2
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,0.40633041688111166,class_3,3,0,0,1,57.6
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,0.26689252776209305,class_3,3,0,0,1,59.2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,0.3611764705882353,class_3,3,0,0,1,65.2
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,0.4883939774153073,class_3,3,0,0,1,68.1
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,0.3668491786958686,class_3,3,0,0,1,75.5
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,0.4547710976282405,class_3,3,0,0,1,79.3
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,0.40553359683794465,class_3,3,0,0,1,56.5
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,0.4547710976282405,class_3,3,0,0,1,79.3
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,0.505413901501921,class_3,3,0,0,1,76.8
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,0.4547710976282405,class_3,3,0,0,1,79.3
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,0.42369020501138954,class_3,3,0,0,1,73.3
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,0.37419851243908697,class_3,3,0,0,1,82.6
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,0.4547710976282405,class_3,3,0,0,1,79.3
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91,0.5176087599881622,class_3,3,0,0,1,67.8
222.4,0.0,96.7,189.3,4.5,967.1,870.3,3,0.8511690647482014,class_1,1,1,0,0,11.58
222.4,0.0,96.7,189.3,4.5,967.1,870.3,14,0.8511690647482014,class_1,1,1,0,0,24.45
222.4,0.0,96.7,189.3,4.5,967.1,870.3,28,0.8511690647482014,class_2,2,0,1,0,24.89
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,0.8511690647482014,class_3,3,0,0,1,29.45
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100,0.8511690647482014,class_3,3,0,0,1,40.71
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,0.8464499572284003,class_1,1,1,0,0,10.38
233.8,0.0,94.6,197.9,4.6,947.0,852.2,14,0.8464499572284003,class_1,1,1,0,0,22.14
233.8,0.0,94.6,197.9,4.6,947.0,852.2,28,0.8464499572284003,class_2,2,0,1,0,22.84
233.8,0.0,94.6,197.9,4.6,947.0,852.2,56,0.8464499572284003,class_3,3,0,0,1,27.66
233.8,0.0,94.6,197.9,4.6,947.0,852.2,100,0.8464499572284003,class_3,3,0,0,1,34.56
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3,0.8505392912172574,class_1,1,1,0,0,12.45
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14,0.8505392912172574,class_1,1,1,0,0,24.99
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28,0.8505392912172574,class_2,2,0,1,0,25.72
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,56,0.8505392912172574,class_3,3,0,0,1,33.96
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100,0.8505392912172574,class_3,3,0,0,1,37.34
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,0.8500262191924489,class_1,1,1,0,0,15.04
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14,0.8500262191924489,class_1,1,1,0,0,21.06
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28,0.8500262191924489,class_2,2,0,1,0,26.4
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56,0.8500262191924489,class_3,3,0,0,1,35.34
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100,0.8500262191924489,class_3,3,0,0,1,40.57
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,0.8500707213578501,class_1,1,1,0,0,12.47
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,0.8500707213578501,class_1,1,1,0,0,20.92
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28,0.8500707213578501,class_2,2,0,1,0,24.9
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56,0.8500707213578501,class_3,3,0,0,1,34.2
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,0.8500707213578501,class_3,3,0,0,1,39.61
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,0.85,class_1,1,1,0,0,10.03
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14,0.85,class_1,1,1,0,0,20.08
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,0.85,class_2,2,0,1,0,24.48
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56,0.85,class_3,3,0,0,1,31.54
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,0.85,class_3,3,0,0,1,35.34
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3,0.8507619548081976,class_1,1,1,0,0,9.45
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,14,0.8507619548081976,class_1,1,1,0,0,22.72
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,0.8507619548081976,class_2,2,0,1,0,28.47
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56,0.8507619548081976,class_3,3,0,0,1,38.56
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,0.8507619548081976,class_3,3,0,0,1,40.39
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3,1.062612883804937,class_1,1,1,0,0,10.76
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14,1.062612883804937,class_1,1,1,0,0,25.48
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,1.062612883804937,class_2,2,0,1,0,21.54
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,56,1.062612883804937,class_3,3,0,0,1,28.63
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,1.062612883804937,class_3,3,0,0,1,33.54
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,0.725,class_1,1,1,0,0,7.75
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14,0.725,class_1,1,1,0,0,17.82
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28,0.725,class_2,2,0,1,0,24.24
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,56,0.725,class_3,3,0,0,1,32.85
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100,0.725,class_3,3,0,0,1,39.23
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,0.8502573701450632,class_1,1,1,0,0,18.0
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,0.8502573701450632,class_1,1,1,0,0,30.39
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,0.8502573701450632,class_2,2,0,1,0,45.71
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,0.8502573701450632,class_3,3,0,0,1,50.77
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,0.8502573701450632,class_3,3,0,0,1,53.9
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3,0.8498596819457436,class_1,1,1,0,0,13.18
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14,0.8498596819457436,class_1,1,1,0,0,17.84
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,0.8498596819457436,class_2,2,0,1,0,40.23
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,56,0.8498596819457436,class_3,3,0,0,1,47.13
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100,0.8498596819457436,class_3,3,0,0,1,49.97
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,0.8498040922942969,class_1,1,1,0,0,13.36
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14,0.8498040922942969,class_1,1,1,0,0,22.32
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28,0.8498040922942969,class_2,2,0,1,0,24.54
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,0.8498040922942969,class_3,3,0,0,1,31.35
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,100,0.8498040922942969,class_3,3,0,0,1,40.86
238.1,0.0,94.1,186.7,7.0,949.9,847.0,3,0.7841243175136497,class_1,1,1,0,0,19.93
238.1,0.0,94.1,186.7,7.0,949.9,847.0,14,0.7841243175136497,class_1,1,1,0,0,25.69
238.1,0.0,94.1,186.7,7.0,949.9,847.0,28,0.7841243175136497,class_2,2,0,1,0,30.23
238.1,0.0,94.1,186.7,7.0,949.9,847.0,56,0.7841243175136497,class_3,3,0,0,1,39.59
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,0.7841243175136497,class_3,3,0,0,1,44.3
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3,0.7496,class_1,1,1,0,0,13.82
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14,0.7496,class_1,1,1,0,0,24.92
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,0.7496,class_2,2,0,1,0,29.22
250.0,0.0,95.7,187.4,5.5,956.9,861.2,56,0.7496,class_3,3,0,0,1,38.33
250.0,0.0,95.7,187.4,5.5,956.9,861.2,100,0.7496,class_3,3,0,0,1,42.35
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,3,0.7496470588235294,class_1,1,1,0,0,13.54
